AU,AF,TI,AB,SN,EI,PD,PY,VL,IS,BP,EP,AR,DI,UT
"BLAU, JR; ALBA, RD","BLAU, JR; ALBA, RD",EMPOWERING NETS OF PARTICIPATION,,0001-8392,,,1982,27,3,363,379,,10.2307/2392317,WOS:A1982PF02300002
"Maclean, M; Harvey, C; Chia, R","Maclean, Mairi; Harvey, Charles; Chia, Robert",Dominant Corporate Agents and the Power Elite in France and Britain,"Corporate elites are not a new phenomenon. However, the ways in which significant agents gain ascendancy to positions of power vary across nations and cultures. This paper analyses the ascension of a small minority of corporate agents to positions of dominance and the subsequent accession of a select few to the power elite. Our theoretical position builds upon the writings of Pierre Bourdieu on power and domination. These constructs are elaborated and made tangible through a cross-national comparative study of dominant corporate agents in France and Britain. Our results demonstrate the extent to which power remains concentrated in the French and British corporate sectors; highlighting equally pronounced similarities and differences between the two countries. It is suggested that power elites function through governance networks to promote institutional and organizational goals.",0170-8406,,MAR,2010,31,3,327,348,,10.1177/0170840609357377,WOS:000276686700004
"Reagans, R","Reagans, R","Preferences, identity, and competition: Predicting tie strength from demographic data","This research examines the combined influence of three causal mechanisms shaping interpersonal dynamics. Sharing a demographic characteristic has been shown to strengthen a relationship between people. The initial explanation for this positive effect emphasized the importance of individual preferences for social contact. Similar people share common interests, which makes them more attractive as exchange partners. More recent explanations have highlighted the important role of identification and competition. Identification increases the tendency for strong ties to develop among similar people, while competition reduces that tendency I argue that tie strength is a function of all three mechanisms: a baseline level of interpersonal attraction, a positive identification effect, and a negative competition adjustment. Identification and competition vary with the number of people sharing the focal attribute to define a predictable association between sharing the focal attribute and the strength of a network connection. Predictions are tested with tenure and tie-strength data from a small research and development firm. Analysis indicates that having the same tenure has the predicted effect on communication frequency. The implications of the findings are discussed for homophily research in particular and demography research in general.",0025-1909,,SEP,2005,51,9,1374,1383,,10.1287/mnsc.1050.0389,WOS:000232508100006
"Lu, XH; Ba, SL; Huang, LH; Feng, Y","Lu, Xianghua; Ba, Sulin; Huang, Lihua; Feng, Yue",Promotional Marketing or Word-of-Mouth? Evidence from Online Restaurant Reviews,"The value of promotional marketing and word-of-mouth (WOM) is well recognized, but few studies have compared the effects of these two types of information in online settings. This research examines the effect of marketing efforts and online WOM on product sales by measuring the effects of online coupons, sponsored keyword search, and online reviews. It aims to understand the relationship between firms' promotional marketing and WOM in the context of a third party review platform. Using a three-year panel data set from one of the biggest restaurant review websites in China, the study finds that both online promotional marketing and reviews have a significant impact on product sales, which suggests promotional marketing on third party review platforms is still an effective marketing tool. This research further explores the interaction effects between WOM and promotional marketing when these two types of information coexist. The results demonstrate a substitute relationship between the WOM volume and coupon offerings, but a complementary relationship between WOM volume and keyword advertising.",1047-7047,1526-5536,SEP,2013,24,3,596,612,,10.1287/isre.1120.0454,WOS:000324010300006
"Johnson, N; Elliott, D; Drake, P","Johnson, Noel; Elliott, Dominic; Drake, Paul",Exploring the role of social capital in facilitating supply chain resilience,"Purpose - There has been limited research examining the influence of inter-organisational relationships and the social capital they may nurture in building SCRES. The authors aim to explore how three dimensions of sbcial capital (cognitive, structural and relational) may act as facilitators or enablers. of the four formative capabilities for SCRES (i.e. flexibility, velocity, visibility, and collaboration), identified by Juttner and Maklan. Design/methodology/approach - Data were collected from three separate tiers of the supply chain involved in the response to an extreme event (the Lambrigg, UK rail crash). Using a social constructionist approach, the paper explores how social capital may enable the emergence of formative capabilities for resilience. Findings - The data suggest that the dimensions of social capital may play an influential role in facilitating the four formative capabilities for SCRES and indicate the potential for these to be mutually reinforcing. Research limitations/implications - The paper provides an illustration of some links between resilience and social capital constructs within one supply network, in the context of crisis response. Different types of network and contexts may result in other outcomes and have other facilitating effects upon SCRES. These findings should be explored within other contexts. Practical implications - The authors highlight that social capital may be nurtured deliberately or emerge as a consequence of relationships within a network. Formal efforts to build network communications, norms of reciprocity may create the conditions for appropriable organisations to emerge when faced with extreme events. Originality/value - Drawing from a social capital perspective, this paper contributes to a fuller understanding of notions of relational capital.",1359-8546,1758-6852,,2013,18,3,324,336,,10.1108/SCM-06-2012-0203,WOS:000321093100007
"Huggins, R","Huggins, Robert",Forms of Network Resource: Knowledge Access and the Role of Inter-Firm Networks,"The leveraging of inter-firm networks is increasingly considered to be a strategic resource that can potentially be shaped by managerial action. In recent years, scholars have turned to the concept of social capital to understand how the transfer of knowledge occurs within and across firms. However, this has resulted in an overstretching of the social capital concept. The aim of this paper is to refine and add specificity to the current broad application of the social capital concept. It is argued that although the social capital concept explains investments in networks based on a network logic relating to sociability and socialization, it does not explain investments in networks based on a logic relating to economic expectations. These expectations result in network participation that is more calculative than networks containing social capital. The paper introduces the notion of 'network capital' to explain the resources contained within inter-firm networks that do not necessarily equate with the type of trust and obligations associated with social capital. Network capital is defined as an investment in calculative relations through which firms gain access to knowledge to enhance expected economic returns. It is argued that while network capital can be strategically managed, particularly to influence knowledge flow, the nature of social capital is such that it is very difficult to manage. It is concluded that the network capital-social capital framework opens a number of avenues in terms of future research, especially in relation to the extended resource-based view of the firm and theories of open innovation.",1460-8545,1468-2370,SEP,2010,12,3,335,352,,10.1111/j.1468-2370.2009.00266.x,WOS:000280636000006
"Grangsjo, YV; Gummesson, E","Grangsjo, YV; Gummesson, E",Hotel networks and social capital in destination marketing,"Purpose - The paper provides insights into destination marketing and the conditions and outcome of competitor co-operation in a local, horizontal hotel network. The specific purpose is to uncover the mechanics of such a network and offer a theory together with recommendations for practice and future research. Design/methodology/approach - In contrast with manufactured goods, which are distributed to the market, destination marketing distributes customers to a service production site. This basic prerequisite has effects on marketing strategies and the networking of competitors, and so has the fact that the services are in part delivered in interaction with customers and between customers at a physical place. The paper is based on inductive case study research, and the observations and conclusions from the empirical case data are given precedence over extant theory. The case, the Hotel Group, is a hotel network in the town of Ostersund, Sweden. The case is directed towards certain strategic business-to-business elements of destination marketing. Findings - The study shows that the Hotel Group has found a success formula. Among the results are that a drive for action, both planned and improvised, is more decisive for success than plans and expressed intentions; that networking is facilitated when local competitors build social capital through trust and commitment in action; and that competitors have to adhere to certain basic principles, strike a balance between seemingly contradictory strategies, and live by an agreed code of conduct. Research limitations/implications - The case study lays bare the need to rethink certain mainstream vantage points used in research. These include departure from the notion of small- and medium-sized businesses as autonomous economic entities and consider them part of networks; recognition of the social context and synergy of a network organization and its code of conduct; and learning to manage a social network by balancing seeming paradoxes and opposites. The study is temporally limited and does not forecast the sustainability and robustness of the network and its success formula over time and under changing conditions. Practical implications - The study offers normative and actionable insights about the success of a horizontal tourism network. The network members should adhere to three basic principles: show enthusiasm, give time, and contribute to financing; they have to perform balancing acts between the collective and individual, co-operation and competition, and planning/intention and action; and they have to follow a seven-point code of conduct. Originality/value - The paper contributes to a theory of co-operation in marketing networks. It empirically examines network mechanics when local competitors take action to improve their individual situation by improving the collective competitive position on the market, provides insights into destination marketing and the conditions and outcome of competitor co-operation in a local, horizontal hotel network.",0956-4233,,,2006,17,1,58,75,,10.1108/09564230610651589,WOS:000236626000005
"Dobrow, SR; Chandler, DE; Murphy, WM; Kram, KE","Dobrow, Shoshana R.; Chandler, Dawn E.; Murphy, Wendy M.; Kram, Kathy E.",A Review of Developmental Networks: Incorporating a Mutuality Perspective,"During the past decade, mentoring research has broadened from its traditional dyadic perspective to examine the support provided by a ""developmental network."" This article reviews the literature on developmental networks-groups of people who take an active interest in and action toward advancing a protegea's career. Building on positive organizational scholarship (POS) research on high-quality connections and relationships, the authors propose that a ""mutuality perspective,"" or taking the viewpoints of all members of the developmental network into account, is a notable gap in developmental network research. They apply this perspective to developmental networks research and discuss implications and avenues for future inquiry. As part of their review, the authors clarify the boundaries of the developmental network construct. They also identify and discuss four research streams that encompass extant studies of developmental networks. This article extends previous reviews of the broad field of dyadic mentoring by providing the first systematic review of developmental network research.",0149-2063,1557-1211,JAN,2012,38,1,210,242,,10.1177/0149206311415858,WOS:000298257500007
"Jones, C; Volpe, EH","Jones, Candace; Volpe, Elizabeth Hamilton",Organizational identification: Extending our understanding of social identities through social networks,"Although organizational identification is founded on social identity and symbolic interactionist theories, current theories emphasize a social identity whereby organizational members categorize themselves and others based on roles and membership in an organization or work unit. In contrast symbolic interactionism, which resides in interpersonal relationships, is rarely theorized or empirically assessed in studies of organizational identification. We use survey data collected at an academic institution to explore how the strength and structure of an individual's social network both directly influences organizational identification as well as moderates the relation between social identity, or categorical, antecedents and organizational identification. Our results show that the size of an individual's network as well as the interaction between relationship strength and prestige better explain organizational identification than do antecedents based solely on categorization and social comparison processes. Thus networks of relationships, which have been a foundational but much neglected premise and process for organizational identification, are brought back into a theory of organizational identification. Copyright (C) 2010 John Wiley & Sons, Ltd.",0894-3796,1099-1379,APR,2011,32,3,413,434,,10.1002/job.694,WOS:000289716500003
"Kilduff, M; Crossland, C; Tsai, W; Krackhardt, D","Kilduff, Martin; Crossland, Craig; Tsai, Wenpin; Krackhardt, David",Organizational network perceptions versus reality: A small world after all?,"Given the complexity of organizing and keeping track of even a small organizational network, boundedly rational people may have learned to use small world principles in perceiving friendship networks: arrange people in dense clusters, and connect the clusters with short paths. Analysis of 116 perceived friendship networks from four different organizations showed that these perceived networks exhibited greater small world properties than the actual friendship networks. Further, people perceived more friendship clustering than actually existed, and attributed more popularity and brokerage to the perceivedly-popular than to the actually-popular. (C) 2008 Elsevier Inc. All rights reserved.",0749-5978,1095-9920,SEP,2008,107,1,15,28,,10.1016/j.obhdp.2007.12.003,WOS:000259557500002
"Hagedoorn, J; Roijakkers, N; Van Kranenburg, H","Hagedoorn, J; Roijakkers, N; Van Kranenburg, H",Inter-firm R&D networks: The importance of strategic network capabilities for high-tech partnership formation,"We examine the role of different network capabilities of companies that influence the formation of R&D partnerships in pharmaceutical biotechnology. Strategic network capabilities, specifically centrality-based capabilities and the efficiency with which companies choose their partners, are found to facilitate the formation of new partnerships. Unlike general experience with partnering, these strategic network capabilities play a crucial role in enabling companies to continue to interact with other companies through partnerships in a complex network setting.",1045-3172,,MAR,2006,17,1,39,53,,10.1111/j.1467-8551.2005.00474.x,WOS:000235354500003
"Shi, Z; Rui, HX; Whinston, AB","Shi, Zhan; Rui, Huaxia; Whinston, Andrew B.",CONTENT SHARING IN A SOCIAL BROADCASTING ENVIRONMENT: EVIDENCE FROM TWITTER,"The rise of social broadcasting technologies has greatly facilitated open access to information worldwide, not only by powering decentralized information production and consumption, but also by expediting information diffusion through social interactions like content sharing. Voluntary information sharing by users in the context of Twitter, the predominant social broadcasting site, is studied by modeling both the technology and user behavior. A detailed data set about the official content-sharing function on Twitter, called retweet, is collected and the statistical relationships between users' social network characteristics and their retweeting acts are documented. A two-stage consumption-sharing model is then estimated using the conditional maximum likelihood estimatio (MLE) method. The empirical results convincingly support our hypothesis that weak ties (in the form of unidirectional links) are more likely to engage in the social exchange process of content sharing. Specifically, we find that after a median quality tweet (as defined in the sample) is consumed, the likelihood that a unidirectional follower will retweet is 3.1 percentage point higher than the likelihood that a bidirectional follower will do so.",0276-7783,,MAR,2014,38,1,123,+,,10.25300/MISQ/2014/38.1.06,WOS:000342493400007
"Soda, G; Zaheer, A","Soda, Giuseppe; Zaheer, Akbar",A network perspective on organizational architecture: performance effects of the interplay of formal and informal organization,"We take a network perspective to organizational architecture, conceptualizing it as multiple networks of both formal and informal interactions and argue that their interplay is key to better understanding individual organizational member performance. We develop and test the concept of network consistency as the overlap between the informal network of advice and information with formal structures and processes, expressed as networks. We theorize that consistency between formal and informal networks exerts differing effects on performance. We test our theory in a financial services firm, using secondary data to create formal networks and annual performance evaluations for our dependent variable, along with primary survey data from organizational members to obtain the informal advice and information network. Results support our network approach to organizational architecture. Copyright (c) 2012 John Wiley & Sons, Ltd.",0143-2095,,JUN,2012,33,6,751,771,,10.1002/smj.1966,WOS:000302470300009
"Carmona-Lavado, A; Cuevas-Rodriguez, G; Cabello-Medina, C","Carmona-Lavado, Antonio; Cuevas-Rodriguez, Gloria; Cabello-Medina, Carmen",Social and organizational capital: Building the context for innovation,"In the light of the key role intellectual capital has for firms' innovation capability, this paper analyzes the influence of two of their dimensions, organizational capital and social capital, on firms' product innovation, and the moderating role of radicalness. Unlike previous studies, the unit of analysis will not be the firm, but the R&D department. Thus, our research, conducted with a sample of Spanish industrial companies, provides a new insight with interesting results. First, our findings show that social capital favours firms' product innovation, especially under radical innovations. Second, organizational capital has an indirect effect on product innovation through positive influence on social capital. This implies that firms can stimulate communication and interaction among people, and therefore innovative activity, by means of explicit and codified knowledge (organizational capital). (C) 2009 Elsevier Inc. All rights reserved.",0019-8501,1873-2062,MAY,2010,39,4,681,690,,10.1016/j.indmarman.2009.09.003,WOS:000279059500016
"Kase, R; Paauwe, J; Zupan, N","Kase, Robert; Paauwe, Jaap; Zupan, Nada","HR PRACTICES, INTERPERSONAL RELATIONS, AND INTRAFIRM KNOWLEDGE TRANSFER IN KNOWLEDGE-INTENSIVE FIRMS: A SOCIAL NETWORK PERSPECTIVE","We adopt the social network perspective to develop a conceptual model and examine the relationship among human resource (HR) practices, interpersonal relations, and intrafirm knowledge transfer in knowledge-intensive firms. Our results indicate that work design, along with training and development HR practices, can shape the structural relation. At the same time, both also exhibit potential for shaping affective and cognitive relations within a firm's social network. While the effects of work design along with training and development HR practices on intrafirm, knowledge transfer are primarily mediated by interpersonal relations, we found some evidence for arguing that incentives and motivation HR practices directly affect intrafirm knowledge transfer. (C) 2009 Wiley Periodicals, Inc.",0090-4848,1099-050X,JUL-AUG,2009,48,4,615,639,,10.1002/hrm.20301,WOS:000268623800009
"Murray, F; Graham, L","Murray, Fiona; Graham, Leigh",Buying science and selling science: gender differences in the market for commercial science,"Growing opportunities for academic scientists to commercialize their science has led to a new commercial marketplace. Recent evidence suggests that ""commercial science"" participation is characterized by gender stratification. Using interviews with life science faculty at one high-status university we examine the mechanisms that instituted, reinforced, and reduced the gender gap in commercial science between 1975 and 2005. We find gender differences from processes on both the demand-(opportunity) and supply-(interest) sides; of deeper significance are the intersections between these sides of the market. Specifically, explicit early exclusion of women left them with fewer opportunities in the marketplace, weakening their socialization and skills in commercial science. This uneven opportunity structure left senior/mid-career women with fewer chances to confront the ambiguities of this new practice, resulting in their greater ambivalence. Gender differences remain significant among junior faculty but we find their decline prompted by greater gender-equality in advisor mentoring and the presence of institutional support which together have started to reshape the supply-side of commercial science.",0960-6491,,AUG,2007,16,4,657,689,,10.1093/icc/dtm021,WOS:000249886500007
"Deroian, F","Deroian, F",Formation of social networks and diffusion of innovations,"Some innovations need delay to diffuse, others often fail. The formation of social networks is a possible explanation. Considering a population of potential adopters of a technology, we set-up a model composed of interacting agents. Interaction is conceived as influence effects and the network of interpersonal influences is learning step-by-step. The gradual formation of the social network leads, after a period of latency, to a collective evaluation of the innovation. (C) 2002 Elsevier Science B.V. All rights reserved.",0048-7333,,JUL,2002,31,5,835,846,PII S0048-7333(01)00147-0,10.1016/S0048-7333(01)00147-0,WOS:000176276900010
"Cross, R; Nohria, N; Parker, A","Cross, R; Nohria, N; Parker, A",Six myths about informal networks - and how to overcome them,"Informal groups of employees do much of the important work in organizations today. To help those networks reach their full potential, executives must come to grips with how they really function.",1532-9194,,SPR,2002,43,3,67,+,,,WOS:000175028600014
"Kahn, WA","Kahn, William A.",Meaningful connections: Positive relationships and attachments at work,,,,,2007,,,189,206,,,WOS:000250292500010
"Buchanan, DA; Fitzgerald, L; Ketley, D","Buchanan, D. A.; Fitzgerald, L.; Ketley, D.",Sustainability and Spread of Organizational Change,,,,,2006,,,1,+,,,WOS:000273613000018
"Harland, C; Zheng, JR; Johnsen, T; Lamming, R","Harland, C; Zheng, JR; Johnsen, T; Lamming, R",A conceptual model for researching the creation and operation of supply networks,"The paper observes a challenge within contemporary public policy to change professional practices and relations to improve public services. Policy-makers' advocacy of process redesign as a best-practice mechanism for effecting change in public-sector organizations is the particular focus of attention. In both theory and method the paper engages an interest in public policy and practice with mainstream developments in the field of organization and management studies. The theoretical framework links debate about process organization, organizational change, professional collaboration and business process re-engineering. The public sector is not immune from the hype of transformation that characterizes much current debate about organization form and change. Empirical data about several redesign interventions that occurred in the context of a hospital re-engineering programme are used to analyse the rhetoric and reality of change in public services. Contested processes and limited effects of re-engineering are discussed for what they reveal about the prospects and possibilities for redesign to effect change in public services.",1045-3172,1467-8551,MAR,2004,15,1,1,21,,,WOS:000189025800001
"GARUD, R; KOTHA, S","GARUD, R; KOTHA, S",USING THE BRAIN AS A METAPHOR TO MODEL FLEXIBLE PRODUCTION SYSTEMS,"Manufacturing flexibility is critical for survival in industries characterized by rapid change and diverse product markets. Although new manufacturing technologies make it possible to accomplish flexibility, their potential remains unrealized by firms whose organizational elements do not possess adaptive capabilities. We use the brain as a metaphor to generate insights on how firms might design flexible production systems. We chose the brain as a metaphor because it is a self-organizing system capable of responding rapidly to a broad range of external stimuli. The brain as a metaphor suggests that flexibility can be enhanced by employing practices that promote distributed processes occurring in a parallel manner. Such practices lie in contrast to those employed by production systems built on scientific management principles that promote localized processes in a sequential manner. By exploring these contrasting modes of operation, we argue that the brain as a metaphor opens up new avenues for theory development related to the design of flexible production systems.",0363-7425,,OCT,1994,19,4,671,698,,10.2307/258741,WOS:A1994PM42300008
"Hinz, O; Spann, M","Hinz, Oliver; Spann, Martin",The impact of information diffusion on bidding behavior in secret reserve price auctions,"The interactive nature of the Internet promotes collaborative business models (e. g., auctions) and facilitates information-sharing via social networks. In Internet auctions, an important design option for sellers is the setting of a secret reserve price that has to be met by a buyer's bid for a successful purchase. Bidders have strong incentives to learn more about the secret reserve price in these auctions, thereby relying on their own network of friends or digital networks of users with similar interests and information needs. Information-sharing and flow in digital networks, both person-to-person and via communities, can change bidding behavior and thus can have important implications for buyers and sellers in secret reserve price auctions. This paper uses a multiparadigm approach to analyze the impact of information diffusion in social networks on bidding behavior in secret reserve price auctions. We first develop an analytical model for the effect of shared information on individual bidding behavior in a secret reserve price auction with a single buyer facing a single seller similar to eBay's Best Offer and some variants of NYOP. Next, we combine the implications from our analytical model with relational data that describe the individual's position in social networks. We empirically test the implications of our analytical model in a laboratory experiment, and examine the impact of information diffusion in social networks on bidding behavior in a field study with real purchases where we use a virtual world as proxy for the real world. We find that the amount and dispersion of information in the individualized context, and betweenness centrality in the social network context, have a significant impact on bidding behavior. Finally, we discuss the implications of our results for buyers and sellers.",1047-7047,,SEP,2008,19,3,351,368,,10.1287/isre.1080.0190,WOS:000259723200007
"Oh, H; Kilduff, M","Oh, Hongseok; Kilduff, Martin",The ripple effect of personality on social structure: Self-monitoring origins of network brokerage,"Despite growing interest in social network brokerage, its psychological antecedents have been neglected. One possibility is that brokerage relates to self-monitoring personality orientation. High self-monitors, relative to low self-monitors, in adapting their self-presentations to the demands of different groups, may occupy positions as brokers between disconnected social worlds. For 162 Korean expatriate entrepreneurs in a Canadian urban area, the results showed that those high in self-monitoring tended to occupy direct brokerage roles within the Korean community-in terms of their direct acquaintances being unconnected with each other. Those high in self-monitoring also tended to occupy indirect brokerage roles-in terms of the acquaintances of their acquaintances being unconnected with each other. Finally, for recent arrivals, those high in self-monitoring tended to establish ties to a wider range of important non-Korean position holders outside the community. These results (which controlled for strongly significant effects of network size on individuals' brokerage within the community) suggest a ripple effect of self-monitoring on social structure and contribute to a clearer understanding of how personality relates to brokerage at different levels.",0021-9010,1939-1854,SEP,2008,93,5,1155,1164,,10.1037/0021-9010.93.5.1155,WOS:000259416300016
"Fukugawa, N","Fukugawa, Nobuya",Determining factors in innovation of small firm networks: A case of cross industry groups in Japan,"We examine the relationship between network characteristics and innovation under different phases of innovation. Based on micro data of cross industry groups, small firm networks for knowledge sharing and R&D cooperation, we show that close-knit networks, represented as dense communication and a high level of commitment among members, are correlated with initiating joint product development. Furthermore, the results show that establishing contact with external sources of knowledge such as public research institutes is important to achieve technical success in innovation. Lastly, engaging in cooperative activities in sales is correlated with commercial success in innovation.",0921-898X,,OCT,2006,27,2-3,181,193,,10.1007/s11187-006-0010-2,WOS:000241797900006
"Brass, DJ; Krackhardt, D","Brass, DJ; Krackhardt, D",The social capital of twenty-first-century leaders,,1479-3571,,,1999,1,,179,194,,,WOS:000079757000011
"Ollier-Malaterre, A; Rothbard, NP; Berg, JM","Ollier-Malaterre, Ariane; Rothbard, Nancy P.; Berg, Justin M.",WHEN WORLDS COLLIDE IN CYBERSPACE: HOW BOUNDARY WORK IN ONLINE SOCIAL NETWORKS IMPACTS PROFESSIONAL RELATIONSHIPS,"As employees increasingly interact with their professional contacts in online social networks that are personal in nature, such as Facebook or Twitter, they are likely to experience a collision of their professional and personal identities unique to this new and expanding social space. In particular, online social networks present employees with boundary management and identity negotiation opportunities and challenges because they invite nontailored self-disclosure to broad audiences while offering few of the physical and social cues that normally guide social interactions. How and why do employees manage the boundaries between their professional and personal identities in online social networks, and how do these behaviors impact the way they are regarded by professional contacts? We build a framework to theorize about how work-nonwork boundary preferences and self-evaluation motives drive the adoption of four archetypical sets of online boundary management behaviors (open, audience, content, and hybrid) and the consequences of these behaviors for respect and liking in professional relationships. Content and hybrid behaviors are more likely to increase respect and liking than open and audience behaviors; audience and hybrid behaviors are less risky for respect and liking than open and content behaviors but more difficult to maintain over time.",0363-7425,1930-3807,OCT,2013,38,4,645,669,,10.5465/amr.2011.0235,WOS:000325590400009
"Schmidt, J; Keil, T","Schmidt, Jens; Keil, Thomas",WHAT MAKES A RESOURCE VALUABLE? IDENTIFYING THE DRIVERS OF FIRM-IDIOSYNCRATIC RESOURCE VALUE,"We fill a gap in the resource-based literature by identifying conditions and mechanisms that make a resource valuable to a firm ex ante that is, before a decision on acquiring or building it is made. These conditions are (1) the firm's ex ante market position; (2) its ex ante resource base, which allows for complementarities; (3) its position in interorganizational networks, which gives it access to privileged information; and (4) the prior knowledge and experience of its managers, which allow superior judgment concerning the value-creating potential of the resource. These factors help explain why firms initially differ in how much value they attribute to a resource and, subsequently, why firms differ in their resource endowments. Our results also contribute to resource management theories by highlighting the role of managerial judgment in acquiring and accumulating resources and, thus, shaping firms' paths toward superior competitive positions. Furthermore, identifying firms' market positions and managerial judgment about demand-side value creation opportunities as resource value drivers highlights the importance of demand-side factors to strategic outcomes. We also discuss how our findings may open avenues for further studies and provide a basis for empirical tests of the resource-based view of strategic management.",0363-7425,1930-3807,APR,2013,38,2,206,228,,10.5465/amr.2010.0404,WOS:000316835900003
"Reiche, BS; Kraimer, ML; Harzing, AW","Sebastian Reiche, B.; Kraimer, Maria L.; Harzing, Anne-Wil",Why do international assignees stay? An organizational embeddedness perspective,"We apply an organizational embeddedness perspective to examine international assignees' retention with the organization. Specifically, we hypothesize that assignees' social ties within and their perceived fit with the host unit positively relate to two sacrifices on leaving the organization: their firm-specific learning during the assignment, and their perceived career prospects in the organization. Perceived career prospects are expected to predict subsequent retention, moderated by firm-specific learning. These hypotheses are tested using a sample of 143 inpatriates in 10 German multinationals, with retention measured 2 and 4 years later. We show that inpatriates' trusting ties with HQ staff and their fit with the HQ positively relate to their firm-specific learning and their perceived career prospects, and that the latter predicts their retention 2 and 4 years later. Perceived career prospects mediate the direct relationship between inpatriates' fit with the HQ and inpatriate retention, and the indirect relationship between inpatriates' trusting ties with HQ staff and their retention. Furthermore, inpatriates' firm-specific learning mitigates the effect of perceived career prospects on retention decisions 2 years later. We contribute to the organizational embeddedness, careers, and international business literatures by explaining when and how facets of organizational embeddedness relate to assignee retention. Journal of International Business Studies (2011) 42, 521-544. doi:10.1057/jibs.2011.5",0047-2506,,MAY,2011,42,4,521,544,,10.1057/jibs.2011.5,WOS:000289776100004
"Gilsing, VA; Duysters, GM","Gilsing, Victor A.; Duysters, G. M.",Understanding novelty creation in exploration networks - Structural and relational embeddedness jointly considered,"In exploration networks the key-organisational question is not how to organise a division of tabour but instead how to create novelty. The aim of this paper is to develop an understanding of how such novelty in exploration networks is created. Based on an empirical analysis of the multimedia and biotechnology industries in the Netherlands, this paper shows that exploration networks face a trade-off between diversity and selection. Moreover, the findings indicate that depending on the type of exploration task, exploration networks need to make a combination of density and tic strength in such a way that diversity and selection are aligned. The paper concludes, among others, that the views of Burt, Coleman and Granovetter should not be seen as contradictory, but rather as proponents of complementary views. (C) 2008 Elsevier Ltd. All rights reserved.",0166-4972,,OCT,2008,28,10,693,708,,10.1016/j.technovation.2008.03.004,WOS:000259729800006
"LEVITT, B; NASS, C","LEVITT, B; NASS, C",THE LID ON THE GARBAGE CAN - INSTITUTIONAL CONSTRAINTS ON DECISION-MAKING IN THE TECHNICAL CORE OF COLLEGE-TEXT PUBLISHERS,,0001-8392,,JUN,1989,34,2,190,207,,10.2307/2989895,WOS:A1989AA86100002
"Wuyts, S; Dutta, S","Wuyts, Stefan; Dutta, Shantanu",Benefiting From Alliance Portfolio Diversity: The Role of Past Internal Knowledge Creation Strategy,"The perspective in alliance research has shifted from the individual dyad to alliance portfolios; a key descriptor of a firm's alliance portfolio is diversity. Focusing on firms that are confronted with emerging technological fields, the authors examine the consequences of their alliance portfolio's technological diversity on superior product innovation. The literature has not been conclusive about the consequences of portfolio diversity. The authors examine the nature of the effect of portfolio diversity on superior product innovation and follow up on the call for a contingency perspectiveas not all firms benefit equally from portfolio diversity. The contingency perspective is based on the assertion that a firm's past strategies in internal knowledge creation are a source of experiences that increase the firm's capability to leverage extramural knowledge. Theoretically, the study thus contributes to the absorptive capacity literature that has recently acknowledged the importance of such higher-order internal capabilities. By identifying concrete dimensions of internal knowledge creation that enable firms to benefit from portfolio diversity, actionable recommendations are derived on how to align internal knowledge creation with external knowledge sourcing. The empirical support in the biopharmaceutical industry corroborates the developed theory and serves as a warning signal for firms that are ill prepared to leverage a diverse alliance portfolio.",0149-2063,1557-1211,SEP,2014,40,6,1653,1674,,10.1177/0149206312442339,WOS:000342584800008
"Stephens, JP; Heaphy, ED; Carmeli, A; Spreitzer, GM; Dutton, JE","Stephens, John Paul; Heaphy, Emily D.; Carmeli, Abraham; Spreitzer, Gretchen M.; Dutton, Jane E.",Relationship Quality and Virtuousness: Emotional Carrying Capacity as a Source of Individual and Team Resilience,"Virtuousness in organizations involves individuals and teams being resilient, or bouncing back from setbacks in ways that allow them to adapt and grow. In two studies, we focus on emotional carrying capacity (ECC), wherein relationship partners express more of their emotions, express both positive and negative emotions, and do so constructively, as a source of resilience in individuals and in teams. Study 1's findings indicate that ECC is positively related to individual resilience and that ECC mediates the link between relationship closeness and individual resilience. Study 2's findings indicate a similar pattern for resilience at the team level: ECC is positively related to team resilience and mediates the connection between trust and team resilience. Together, these studies provide insight into how emotional expression in relationships is a key mechanism in explaining resilience, a foundational element for the pursuit of long-term virtuousness for individuals and for teams.",0021-8863,1552-6879,MAR,2013,49,1,13,41,,10.1177/0021886312471193,WOS:000318649000002
